"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"MCLACHLAN DENTAL CARIES UP",1e-50,4.674e-47,NA,0.78164919325819,3.40429578229633,228,"SLPI,MMP9,FCGR3B,S100A9,S100A8,CD163,MS4A6A,FCGR2B,F13A1,MT1G,BCL2A1,SERPINA1,FCGR2A,MRC1,RNASE6,PLAC8,ALOX5AP,MS4A4A,C3AR1,IGHG1,IGHA1,HLA-DQA1,C1QB,C1QA,LYZ,MT1X,FPR1,PTPRC,CCR2,CXCR4,FGL2,FCER1G,CXCL1,HCLS1,LBP,C5AR1,HCAR3,LCP1,IRF8,SRGN,MSR1,CPVL,CD209,CLEC7A,CD14,CLEC2B,VCAM1,FCN1,HLA-DRA,MT2A,SOCS3,ANPEP,HLA-DMB,TNFAIP8,IL1RN,CEBPD,ABCA1,VAMP8,MGP,CTSS,MAFF,CXCL5,EVI2B,CCR1,TREM1,CD48,NCF2,NCF4,ITGB2,TNFAIP3,SLA,MZB1,SAMSN1,HCK,IGLC2,TYROBP,CYBB,LY96,CSF1R,HLA-DRB1,IL7R,ADAMDEC1,SASH3,TIMP1,HLA-DQB1,SERPINA3,LAPTM5,CFI,IGHM,TNFRSF1B,CD84,CD4,C3,CYTIP,NFIL3,IL6,CD37,PLEK,BIRC3,CYBA,G0S2,CD93,CSF2RB,CXCL13,ADM,STAB1,HLA-DPA1,SLC7A11,CCL2,IL13RA1,CTSC,PLAUR,ACP5,MTHFD2,CD74,KYNU,RAC2,HLA-DPB1,CFD,TNFAIP6,IL10RA,IRF4,ARPC1B,DDX3Y,ICAM1,BLNK,CHI3L2,HLA-DMA,CD53,MNDA,CD44,SPP1,IL1B,CFB,ARHGDIB,SLAMF8,RGS2,ALOX5,CD79A,LYN,NAMPT,CHI3L1,RAB31,C4A,MS4A1,SELE,AQP3,MCL1,CAPG"
"SMID BREAST CANCER NORMAL LIKE UP",3.33811016840929e-43,7.80116346357252e-40,1.71479697260989,0.616057658480467,2.85880637366223,429,"HOXA5,IL1R2,HOXA9,VNN2,HOXA7,MS4A6A,GPR171,F13A1,C7,CLEC10A,CFH,MT1M,MRC1,RNASE6,GPR183,PLAC8,MEOX2,IGHG1,LYVE1,IGHA1,ADH1B,LYZ,TP63,PTPRC,CCR2,LEPR,GEM,DCN,GZMK,TGFBR3,PLA2G2A,IRF8,SELL,SRGN,CPVL,FMO2,CLEC2B,CES1,VCAM1,ANGPT2,HLA-DRA,IL18R1,CD180,ID3,IL2RG,TNFAIP8,FCER1A,CYP1B1,ADAM28,EVI2B,CD48,NCF4,CASP1,SLA,MZB1,FRZB,PDGFD,IGLC2,LY96,HLA-DRB1,IL7R,HGF,DOK2,TXNIP,HLA-DQB1,LILRB3,CFI,IL1R1,DOCK2,IGHM,TNFRSF1B,CD2,SIGLEC1,CD4,C3,FOLR2,CYTIP,TFPI,IL6,APLNR,CD37,BIRC3,LCK,BTK,F10,CXCL13,CD302,C1R,NCKAP1L,C1S,OXTR,HLA-DPA1,PTPN22,FZD7,CCL2,VAMP5,CTSC,LY75,LAMP3,CD74,ICAM2,AIF1,PROS1,IFI16,ARHGAP15,AQP1,ID1,PLTP,RAC2,CD3G,CXCL2,SRPX,GJA4,NCF1,ABCA6,AOAH,FAM107A,CD69,SERPING1,GZMM,ID4,LPL,CYTL1,P2RY14,PTGDS,BBOX1,EFEMP1,CIITA,KCTD12,APOBEC3G,CLIC2,GMFG,RUNX3,XCL1,KLRK1,ITGAL,LAMA2,FLI1,GIMAP4,MME,GIMAP5,MAP7D3,ACVRL1,FBLN5,CLEC3B,POU5F1,HHEX,CD40,PPP2R1B,GNG11,CAV1,GIMAP6,CD7,STAP1,MFAP4,CD79A,LYN,TEP1,CLU,CD96,CCDC69,FLT3LG,TRAF3IP3,CHI3L1,IL6R,NTRK2,ABCB1,ARID5A,CH25H,MS4A1,SELE,HSPB2,CD19,FABP4,VPREB3,LILRA4,BIN2,GGT5,ACACB,AASS,PTGER4,CD79B,LST1,ADD3,SH2D1A,CCL5,MALL,CD1D,EMCN,IL21R,SORBS1,LEF1,CCL19,RBMS1,PELI2,SNCAIP,THBD,GPR18,PALMD,CHRDL1,DEF6,LCP2,BTN3A2"
"SCHUETZ BREAST CANCER DUCTAL INVASIVE UP",1.29479554934296e-41,2.01729146587633e-38,1.67817787124255,0.649893712297058,2.9451441473243,333,"SHOX2,FCGR3B,CD163,MS4A6A,IL18,RGS1,CFH,FCGR2A,RNASE6,COL1A2,SRPX2,MS4A4A,C3AR1,GAS1,MFAP2,HLA-DQA1,C1QB,C1QA,NID1,S100A4,PTPRC,FGL2,FCER1G,ECM2,HCLS1,GEM,COL1A1,DCN,IRF8,SRGN,MSR1,CPVL,TFEC,CLEC7A,CLEC2B,COL6A3,HLA-DRA,MFAP5,FCGR1A,HLA-DMB,KDR,CTSS,TLR7,EVI2B,CCR1,IRAK3,TWIST1,CASP1,FZD2,SAMSN1,OLFML1,EMP3,IGLC2,DSE,TYROBP,LY96,HLA-DRB1,GPR65,EMP1,HLA-DQB1,ESM1,PLSCR4,LAPTM5,COL8A2,WWTR1,IL1R1,HPGDS,MERTK,ACKR3,ABCC4,ADORA3,SGK1,SLC7A7,FXYD5,F2R,CD93,CSF2RB,SDC2,C1R,PPIC,AEBP1,CILP,C1S,HLA-DPA1,SERPINH1,TUBB6,ADAM12,COL3A1,PLAUR,MAF,VCAN,CD74,TIMP3,PROS1,IFI16,SSPN,SPARC,COL6A2,HLA-DPB1,ANXA1,TGFBR2,FSTL1,SERPING1,CPQ,IGFBP3,TNFAIP6,CTSK,HMOX1,DAB2,P2RY14,TMEM47,PLN,OLFML3,HLA-DMA,KCTD12,TRIM22,COPZ2,PDGFRB,CD53,RARRES2,ATP10D,FLI1,MNDA,GIMAP4,PRRX1,MME,FAS,SNAI2,SPON1,ENPEP,BICC1,MRC2,RGCC,TGFBI,SLAMF8,FERMT2,GIMAP6,CALD1,RGS2,TP53I3,ALOX5,LYN,PALLD,SLC16A3,SMCO4,CH25H,MMP2,LUM,ERG,DPYD,CD55,LOXL2,SGCD,COL5A1,CCL5,GFPT2,PLCG2,COL11A1,AXL"
"VERHAAK GLIOBLASTOMA MESENCHYMAL",4.40444967707662e-39,5.14659944766403e-36,1.62807167569582,0.718724136704669,3.11314043874822,211,"BNC2,FCGR2B,TLR2,SERPINA1,FCGR2A,COL1A2,SRPX2,MS4A4A,RBM47,S100A4,PTPRC,ANXA2,SLC11A1,COL1A1,C5AR1,LCP1,MSR1,CD14,CLEC2B,CASP5,LAIR1,YAP1,TNFAIP8,CASP4,HK3,PLBD1,TES,S100A11,CSTA,NCF2,NCF4,CASP1,ITGB2,TNFAIP3,BATF,CCR5,SIGLEC7,EMP3,CYBRD1,DSE,LILRB2,LY96,CLIC1,TIMP1,LILRB3,PYGL,LAPTM5,COL8A2,WWTR1,DSC2,SIGLEC9,IL1R1,NOD2,TLR4,TNFRSF1B,MYO1F,CD4,IL4R,FOLR2,CYTIP,ZNF217,LHFPL2,ELF4,FXYD5,TNFRSF1A,STAB1,PTPN22,TEC,ITGAM,ADAM12,VAMP5,CTSC,PLAUR,LY75,SP100,KYNU,HFE,RAC2,MYOF,TCIRG1,PTPN6,STXBP2,ANXA1,TGFBR2,CPQ,CNN2,DAB2,ARPC1B,ITGA5,TRIM22,CASP8,COPZ2,CEBPB,LTBP2,FNDC3B,CYTH4,MRC2,DRAM1,NPC2,TGFBI,SLAMF8,FPR3,TRIM38,LGALS3,ALOX5,IQGAP1,RAB27A,CHI3L1,SLC16A3,RAB32,CD2AP,MAN1A1,ARHGAP29,RUNX2,DOK3,IL15RA,COLGALT1,SWAP70,PTGER4,CLCF1,COL5A1,P4HA2"
"LINDGREN BLADDER CANCER CLUSTER 2B",7.84287525758937e-37,7.33151979079454e-34,1.57637362160047,0.612051232807485,2.79074418611071,366,"PITX2,BMP5,MT1H,SLC7A2,FCGR2B,CLEC10A,CST7,MT1G,BCL2A1,RNASE6,COL1A2,ALOX5AP,MS4A4A,C3AR1,LYZ,S100A7,MT1X,CXCR4,FGL2,MT1L,ECM2,GEM,MT1E,LCP1,PCOLCE,SELL,SRGN,EBI3,VCAM1,COL6A3,HLA-DRA,MT2A,SOCS3,ANPEP,KLHL6,IL2RG,MGP,TES,EVI2B,IQGAP2,ABI3BP,PARVG,TNFAIP3,IFITM2,SAMSN1,NFKBIA,EMP3,CYBRD1,CYBB,GADD45B,HLA-DRB1,SLFN11,IL7R,HLA-DQB1,SERPINA3,LAPTM5,DOCK2,MYO1F,KLF4,IFITM1,FOLR2,LATS2,NFIL3,APLNR,STOM,BIRC3,LCK,LAT2,IFITM3,CD302,C1R,AEBP1,ADAMTS9,GPC6,C1S,NFKBIZ,CPXM1,CCL2,IGLL1,PLAUR,MAF,AIF1,PROS1,PDGFRL,SLC43A3,ARHGAP15,AQP1,RAC2,DDR2,SRPX,FOXF1,CHSY1,LAMB2,RHOH,SPARC,COL6A2,HLA-DRB5,HLA-DPB1,SERPING1,IL10RA,DAB2,DDX3Y,TSC22D3,ICAM1,EFEMP1,HLA-DMA,CLIC2,COPZ2,PDGFRB,SAMHD1,RUNX3,RGS10,KLRK1,RARRES2,FERMT3,ITGAL,PRRX1,ARHGAP30,CNN3,CYTH4,AFF1,HHEX,IGDCC4,MALT1,GNG11,CAV1,RGS2,ATP1A2,PRKCH,TMTC1,PPP1R18,PALLD,NFATC1,TGFBR1,CH25H,C4A,MMP2,CCDC80,SELE,LINC00472,RUNX2,AURKB,GJA5,LUM,MFNG,HLA-E"
"CHARAFE BREAST CANCER LUMINAL VS BASAL DN",2.75476646106462e-36,2.12686489469624e-33,1.56979165706381,0.589915280739643,2.72626111308995,420,"HOXA5,SLPI,DSC3,ANXA2P2,IL18,MT1H,DSG2,TLR2,MT1G,MT1F,SRPX2,GAS1,GPX8,PKP2,MT1X,TP63,ANXA2,CXCL1,KLF5,TNFRSF10D,HOTAIRM1,CD14,RIPK4,MT2A,ANXA3,YAP1,TNFAIP8,CEBPD,CASP4,TRIP10,CASP1,TNFAIP3,EMP3,CYBRD1,DSE,IL7R,PERP,EMP1,AKR1C1,WWTR1,CFI,FGF2,GABRE,OSMR,YBX3,EPHA2,CXCL3,EGFR,C3,SGK1,SLC16A1,ITGB8,MMP14,IGF2BP2,CARD6,F2RL1,PHLDB2,BIRC3,FXYD5,CD58,C1R,CHST3,ADM,LIPG,C1S,SLC1A3,TUBB6,GNG12,CTSC,SP100,PLSCR1,OGFRL1,PRKD3,IFI16,MYL12A,RAC2,PXDC1,CXCL2,SRPX,MAML2,B3GNT5,ANXA1,TGFBR2,ADORA2B,ITGA1,FSTL1,ZC3H12C,MDFIC,CD109,ICAM1,IL15,TRIM22,YES1,RUNX3,COL8A1,WLS,ATP10D,ARHGAP5,AKR1C3,MME,CD44,IFNGR1,FAS,SNAI2,MAP7D3,FNDC3B,NFE2L2,RBMS3,SAMD9,GBP3,NXN,TMED5,BICC1,CFB,FOSL1,RGCC,TGFBI,CAV1,ADRB2,SOAT1,CALD1,RGS2,KRT15,PSAT1,NMI,LYN,PKN2,NAMPT,HRCT1,ITGA6,CCDC80,PGM2,PARP4,DNAJB4,NABP1,CAV2,LAMA3,PM20D2,HLA-E,ERAP2,DPYD,FAM83A,JAG1,LOXL2,ITGB1,ADD3,CD59,RBM7,ALDH3A2,ZDHHC2,HP1BP3,AXL,B2M,MSN,HIF1A,RRAS2,F3,RBMS1,TWSG1,SNX7,GJB3,FAP,BTN3A2,LAMC1,ATP1B3,YBX1,FRMD6,CFLAR,GBP1,LOX,PDGFC,SMCHD1,SVIL,STAT3,RND3,ZBTB38,BTG3,GLIPR1,PLAU,TAX1BP3,PSMB8,NCK1,TMEM245,CLIC4,NT5E,CLIP4"
"WALLACE PROSTATE CANCER RACE UP",3.18529188337049e-36,2.12686489469624e-33,1.56318197862453,0.660677190376526,2.92722437288403,271,"IL1R2,MMP9,DNASE1L3,GPR171,FCGR2B,VSIG4,RGS1,BCL2A1,MRC1,RNASE6,GPR183,PLAC8,ALOX5AP,MS4A4A,IGHG1,IGHA1,HLA-DQA1,C1QB,C1QA,LYZ,NID1,PTPRC,CD86,CXCR4,SLAMF1,FGL2,FCER1G,HCLS1,C5AR1,GZMK,IRF8,SELL,SRGN,CPZ,TFEC,HLA-DRA,ANPEP,IL2RG,CEBPD,CTSS,ADAM28,EVI2B,CD48,MMP19,ITGB2,SLA,PDK4,IFITM2,CCR5,SAMSN1,IGLC2,LILRB2,LY96,OLFML2A,HLA-DRB1,GPR65,IL7R,ADAMDEC1,CD28,HLA-DQB1,LAPTM5,IGHM,CD2,IFITM1,CYTIP,NFIL3,STOM,CD37,PI15,PLEK,LCK,SLFN12,APOL1,CD93,SECTM1,CSF2RB,IFITM3,STK17B,NCKAP1L,PTPN22,CTSC,LAMP3,COL21A1,ICAM2,IFI16,ARHGAP15,PLTP,RAC2,HS3ST3A1,CMAHP,GADD45G,ECHDC3,HLA-DPB1,CD69,IL10RA,P2RY14,PTGDS,IL15,APOBEC3G,CLIC2,GMFG,CD53,RUNX3,APOLD1,ITGAL,FLI1,HERC5,IRF1,GNG11,GIMAP6,STAP1,CLU,SERPINB9,HSPB8"
"REACTOME NEUTROPHIL DEGRANULATION",1.83016644673102e-35,1.0692747465026e-32,1.54987806027287,0.57793204307195,2.68312687879626,443,"S100A12,SLPI,CLEC4D,CXCR1,MMP9,VNN1,DSP,FCGR3B,S100A9,CLEC12A,CXCR2,S100A8,FOLR3,TLR2,RNASE2,PPBP,SERPINA1,FCGR2A,CEACAM3,PLAC8,CD177,C3AR1,FCAR,LYZ,S100A7,FPR1,CR1,PTPRC,ANXA2,FGL2,FCER1G,CXCL1,LRG1,SLC11A1,C5AR1,MMP8,FPR2,SELL,RNASE3,CD14,HSPA6,FCN1,CLEC5A,ANPEP,BPI,S100P,LAIR1,LILRA3,VAMP8,CTSS,HK3,S100A11,IQGAP2,ITGB2,LCN2,SLC2A5,TYROBP,LILRB2,CYBB,MGAM,SIGLEC14,LILRB3,PYGL,FGR,SERPINA3,CD33,SIGLEC9,DOCK2,HSPA1A,PSMA2,TNFRSF1B,C3,ARG1,ABCA13,STOM,CYBA,CD93,CD58,CD300A,METTL7A,CDA,HP,NCKAP1L,B4GALT1,ITGAM,CTSC,PLAUR,PNP,ATP8B4,HVCN1,ANO6,PYCARD,GPR84,TTR,TCIRG1,PTPN6,HSPA1B,CMTM6,PTAFR,CFD,CNN2,TNFAIP6,GSDMD,MGST1,RNASET2,SNAP23,GMFG,CD53,PRCP,SERPINB1,ITGAV,ITGAL,MNDA,MME,CD44,BST1,HEBP2,CAT,ORM2,NPC2,CPNE3,LGALS3,ALOX5,IQGAP1,OLFM4,RAB27A,CHI3L1"
"THUM SYSTOLIC HEART FAILURE UP",6.69945836873653e-33,3.47925204616384e-30,1.48853970961455,0.579904569468709,2.667246278355,402,"S100A9,TNFRSF11B,OMD,MS4A6A,FCGR2B,F13A1,VSIG4,MRC1,SRPX2,ALOX5AP,MS4A4A,C3AR1,FMOD,GPX8,C1QB,PKP2,C1QA,LYZ,PTPRC,DNM3OS,CXCR4,FCER1G,SLC11A1,LEPR,CP,C1QC,LCP1,IRF8,SRGN,MSR1,CD14,CLEC2B,VCAM1,ANGPT2,HLA-DRA,IL2RG,LAIR1,VAMP8,CTSS,ANG,GPR34,TLR7,EVI2B,FCGR3A,CASP1,ITGB2,MIR29B2,IGLC2,EDN1,TYROBP,LY96,GADD45B,HLA-DRB1,ZFP36L2,HLA-DQB1,AKR1C1,PLSCR4,LAPTM5,CFI,HPGDS,DOCK2,IGHM,TLR4,TNFAIP8L2,FOLR2,ZNF217,SLC16A1,EZR,NFATC2,SDC2,NOTCH2,ADM,C1S,TM4SF1,HLA-DPA1,CTSC,VCAN,PLEKHF2,GIMAP2,CD74,AIF1,PLXDC2,RAC2,TMEM45A,RBM48,DHRS9,CMAHP,CXCL2,LILRB1,TRDN,TGFBR2,IGFBP3,ID4,PIK3CG,PPP1R3B,HLA-DMA,SNAP23,CD53,APOL4,FLI1,MNDA,PRRX1,TSPAN18,SP1,LTBP2,FAS,LPAR6,CNN3,RBMS3,CAT,CFB,ARHGDIB,FPR3,INHBB,MFAP4,LYN,MR1,NAMPT,NHSL1,MAN1A1,VEGFA,DNAJB4,MIER3,GNLY,EPHA7,ITGB1,PAPOLA,LST1,MIR3685,LMAN1,TSPAN12,HP1BP3,CREBRF,CALCRL,MAPKAPK2,PAXBP1,VGLL3"
"VERHAAK AML WITH NPM1 MUTATED UP",1.31286823513272e-31,6.13634613101033e-29,1.46045153084133,0.719923495742016,3.04158247708558,171,"HOXA10,HOXA5,HOXA9,VNN2,VNN1,HOXA7,FCGR3B,LILRA5,CD163,HOXB5,PPBP,BCL2A1,SERPINA1,FCGR2A,HOXB2,C3AR1,DEFB1,HOXB6,C1QB,C1QA,FPR1,CD86,FGL2,RUNX1,APOBEC3A,C5AR1,HCAR3,PF4,CCL20,FOXC1,CPVL,CD14,FCN1,HOXB3,LILRA3,CYP1B1,HK3,TBXAS1,CCR1,FCGR3A,TREM1,CASP1,TNFAIP3,PDGFD,HCK,NFKBIA,LILRB2,BCL6,LILRB3,AKR1C1,FGR,TLR4,CXCL3,ABCC4,IL6,PLEK,G0S2,SECTM1,AIM2,GDF15,PLAUR,VCAN,TMEM176A,TMEM176B,CXCL2,TCIRG1,LILRB1,NCF1,PTAFR,NFKB2,C2,HMOX1,CD300C,CAT,IL1B,SLC15A3,NAMPT,CLU,AQP9,SLC16A3,SMCO4,MMP2,PBX3"
