"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"LEIN NEURON MARKERS",3.80042571730581e-07,2.97062862281715e-06,0.674962860011025,-0.592190371239611,-2.237294522907,64,"EGR1,GRIN2B,SYP,ADD2,CPLX1,NEFL,PACSIN1,CX3CL1,NDRG4,CLSTN3,KIFC2,TUBA4A,GABARAPL1,DISP2,CHGB,SNAP25,TRANK1,GAP43,SYNGR3,NAPB,ATP6V1G2,PTPRN,SNRPN,NDFIP1,SYT1,NSG2,RTN1,CAMK2B,MADD,FAIM2,RYR2,DPP6,MEG3,YWHAG,REPS2,PRKACA,JAKMIP1,CYFIP2,SLC22A17,UNC80,BEX1,FLYWCH1,PRKAR1B,GABBR2,SNHG11,MYO5A,RAB6A,MAP2K1,GRIA4,CALM2"
"MODY HIPPOCAMPUS POSTNATAL",2.57607627013296e-05,0.000124196961782688,0.575610261071129,-0.547387698424019,-2.0265887620675,56,"GPD1,EGR1,NRGN,RASGRF1,BDNF,ENO2,CX3CL1,VAMP2,DGKZ,STXBP1,NAPA,APBB1,EEF1A2,SYT1,RYR2,ATP6AP1,ATP2A2,NPTX1,ATP6V1E1,SOX10,FBXW7,PKM,MDH1,ATP6V1B2,GRINA,TPI1,HRAS,NDUFB2,CCK,VDAC1,KCNAB1,BIN1,COX8A,ALDOA,ATP6V1C1,SH3GL2,PFKL"
"LU AGING BRAIN DN",2.74666381277699e-07,2.22597723722602e-06,0.674962860011025,-0.454060799891843,-1.96738688829928,146,"CRH,SST,CDH22,GABRD,PPM1E,RASGRF1,ATP2B2,CCKBR,SCN2B,CAMK4,CALM3,TPPP,SLC17A7,MAP1B,PAK1,PRKCG,DYNC1I1,KCNB1,TUBA4A,HTR2A,VAMP1,GRIN2A,RAB3A,RGS4,PLEKHB2,ENSA,CHGB,GFRA2,NAPA,FGF12,ATP6V1G2,FGF13,CA4,MAPK9,KCNJ9,MAPT,SYN2,PRKCZ,CALM1,PITPNA,TPBG,PLD3,UROS,PPP3R1,PRKCB,FRMPD4,CAP2,MAP2,ATP2A2,ATP6V1A,NSG1,CORO1A,UBE2S,YWHAZ,KLHDC3,MRPL28,TNFRSF21,ATXN7L3B,PCMT1,TIMM17A,DUSP3,ZNF222,KIF1B,VDAC1,RAB6A,DNM1L,PARM1,GNB5,GAD1,ABI2,CDK5R1,MEGF8,PENK,THY1,RAD23A,UBE2M,TAGLN3,INPP4A,CAMK2A,CALB2,NUTF2,MEF2C,MAP2K4"
"JOHANSSON GLIOMAGENESIS BY PDGFB DN",0.000869532295726024,0.0026046534300546,0.477270815362862,-0.643853633997046,-1.93214329963497,22,"SLC30A3,RPH3A,NEFL,FAM131A,KCNH3,CALY,KIFC2,ARPP19,HBA2,CACNB3,SYNGR3,PRKCZ,CHMP3,ACOT7"
"LEIN LOCALIZED TO PROXIMAL DENDRITES",0.000895655583580454,0.00266778134365227,0.477270815362862,-0.570940313552574,-1.88366388311076,34,"GPD1,RPH3A,NRGN,LYNX1,HPCA,SLC17A7,MAP1B,MAP1A,CHGB,NECAB2,CDK14,INA,BSN,SNRPN,DNAJC6,NSG2,MAP2,MTCH1,MMD,SULT4A1,EPS15,IDS,KIF5C,ACO2"
"LEIN OLIGODENDROCYTE MARKERS",0.000119307994756662,0.000468368086399852,0.538434096309916,-0.479098044211902,-1.84660347880949,73,"TMEM88B,MBP,GJB1,MAG,MOBP,OPALIN,CNP,FA2H,S1PR5,MOG,SCD,MCAM,PLEKHG3,CNTN2,MYRF,HMGCS1,AATK,TPPP3,DAAM2,ERMN,HCN2,ACTC1,NRBP2,MAL,TMEM63A,SYT11,PCYT2,GPR37,SLC48A1,OLIG1,ABCA2,EEF2,PACS2,UGT8,SOX10"
"LEE TARGETS OF PTCH1 AND SUFU DN",0.000528653808448227,0.00172007803192145,0.477270815362862,-0.445410565850965,-1.76887670585468,85,"SEMA3E,CLSTN2,CNP,PCSK1N,C1QTNF4,SLC1A6,LYNX1,NRIP3,SEZ6L2,ATP2B2,CACNA1G,HMGCS1,NRXN3,SLC32A1,SKOR1,NDRG4,CSDC2,PAK1,PRKCG,TRPC3,VAMP2,RAB3A,RCAN2,CKMT1B,MAP4,KCNK1,DCLK1,NEFH,C11orf87,PTPRR,NAPB,KIF1A,GRM3,MAPRE3,VSNL1,SYT1,CHCHD10,CEND1,MEG3,CBLN1,ATP2A2,SPOCK2,CAMK2D,SLC8A1,ATP1B1,HK1,NRSN1,MAPRE2,FNBP1,TSPAN2,GAD1,ELMOD1,PENK,THY1,ITPR1"
"MCCLUNG DELTA FOSB TARGETS 2WK",0.00191556018373724,0.00509145875798169,0.45505986738723,-0.500225638963117,-1.74758084379151,43,"SYT2,MOBP,TUBB2A,HMGCS1,BDNF,ADCYAP1,NEFM,NMBR,STMN2,INPP5J,STMN1,NEFH,CDK14,INA,VSNL1,OLFM1,TPBG,NPTX1,ASIC2,FHOD3,CCK,CLN8,ADARB1,APBA2"
"KIM ALL DISORDERS DURATION CORR DN",8.92307486742274e-05,0.00036380808332918,0.538434096309916,-0.401528729079375,-1.72887010113814,141,"KLK6,NCALD,COL9A3,NRGN,ATP6V0E2,MARCKSL1,CX3CL1,SEC14L5,FBXO9,FNDC4,FXYD7,TUBA4A,NIPSNAP1,MAL,RAP1GAP2,STOML1,CACNG3,DTX4,GPR37,MAST3,NSG2,MADD,GABBR1,NUP93,FTO,CDIPT,PIN1,EXOC3,ACOT7,ESYT1,ATP6AP1,NTHL1,NDUFA7,VPS51,PAK6,TRAP1,NDUFAF3,DCTN2,CLASP2,ENDOG,SLC25A11,SAC3D1,ACTL6B,TPI1,PEF1,PFDN1,GDI1,HRAS,ETFB,HCFC1R1,PSMB5,ACTR1A,COX8A,RNH1,GNAZ,PUF60,ATOX1,COX7A1,CLTA,PES1,PMP22,TRAPPC12,ATP6V0B,UQCRQ,B3GAT1,ZMAT4,AKR1A1,SFXN3,RBM10,VPS28,RUVBL2,RNPS1,COX4I1,DHPS,PMM1,NBL1,SPAG7,EIF6,ACD,MAPK3,DHX30,DNAJB2,NDUFA1,NDUFS7,TALDO1,NELFE,PPIA,SUMO3,AMPD2,CREB3,ARRB2,MRPL23"
"NIKOLSKY BREAST CANCER 16P13 AMPLICON",0.000401616743771989,0.00135513593492413,0.49849310876659,-0.415138568557335,-1.69902098790807,107,"MSLNL,NOXO1,KREMEN2,C1QTNF8,SSTR5,PRSS21,CACNA1H,HBQ1,PRSS27,GNG13,HBM,ZSCAN10,RGS11,TPSG1,PRSS22,RNF151,CCDC78,HBA1,FBXL16,PDIA2,RAB40C,HBA2,PKD1,ARHGDIG,CHTF18,SYNGR3,PAQR4,LMF1,PKMYT1,FLYWCH2,TBL3,MAPK8IP3,EME2,ZNF213,CLDN6,RAB11FIP3,TSC2,POLR3K,METRN,TPSB2,NTHL1,TELO2,IGFALS,PIGQ,MRPL28,DECR2,FLYWCH1,HAGHL,BAIAP3,SPSB3,HCFC1R1,C16orf91,RAB26"
